lot,image_id,seed_image,seed_id,germination_observed,root_length_mm,germinated_root_gt_35mm
1,L1G1,s_11.png,L1G1_s_11.png,1,"70,9",1
1,L1G1,s_12.png,L1G1_s_12.png,1,"42,9",1
1,L1G1,s_13.png,L1G1_s_13.png,1,"34,3",0
1,L1G1,s_14.png,L1G1_s_14.png,1,"61,9",1
1,L1G1,s_15.png,L1G1_s_15.png,1,"40,9",1
1,L1G1,s_21.png,L1G1_s_21.png,1,39,1
1,L1G1,s_22.png,L1G1_s_22.png,1,24,0
1,L1G1,s_23.png,L1G1_s_23.png,1,"40,1",1
1,L1G1,s_24.png,L1G1_s_24.png,1,"20,1",0
1,L1G1,s_25.png,L1G1_s_25.png,1,"39,4",1
1,L1G1,s_31.png,L1G1_s_31.png,1,"46,5",1
1,L1G1,s_32.png,L1G1_s_32.png,1,"36,7",1
1,L1G1,s_33.png,L1G1_s_33.png,1,"25,1",0
1,L1G1,s_34.png,L1G1_s_34.png,0,0,0
1,L1G1,s_35.png,L1G1_s_35.png,0,0,0
1,L1G1,s_41.png,L1G1_s_41.png,0,0,0
1,L1G1,s_42.png,L1G1_s_42.png,0,0,0
1,L1G1,s_43.png,L1G1_s_43.png,0,0,0
1,L1G1,s_44.png,L1G1_s_44.png,0,0,0
1,L1G1,s_45.png,L1G1_s_45.png,0,0,0
1,L1G1,s_51.png,L1G1_s_51.png,0,0,0
1,L1G1,s_52.png,L1G1_s_52.png,1,"42,5",1
1,L1G1,s_53.png,L1G1_s_53.png,1,54,1
1,L1G1,s_54.png,L1G1_s_54.png,1,"46,5",1
1,L1G1,s_55.png,L1G1_s_55.png,0,0,0
1,L1G1,s_61.png,L1G1_s_61.png,1,52,1
1,L1G1,s_62.png,L1G1_s_62.png,1,22,0
1,L1G1,s_63.png,L1G1_s_63.png,0,0,0
1,L1G1,s_64.png,L1G1_s_64.png,1,"37,6",1
1,L1G1,s_65.png,L1G1_s_65.png,1,"20,5",0
1,L1G1,s_71.png,L1G1_s_71.png,1,"18,6",0
1,L1G1,s_72.png,L1G1_s_72.png,1,"49,4",1
1,L1G1,s_73.png,L1G1_s_73.png,1,41,1
1,L1G1,s_74.png,L1G1_s_74.png,1,"21,2",0
1,L1G1,s_75.png,L1G1_s_75.png,1,"23,7",0
1,L1G1,s_81.png,L1G1_s_81.png,1,"57,4",1
1,L1G1,s_82.png,L1G1_s_82.png,1,"40,4",1
1,L1G1,s_83.png,L1G1_s_83.png,1,"33,3",0
1,L1G1,s_84.png,L1G1_s_84.png,1,"59,2",1
1,L1G1,s_85.png,L1G1_s_85.png,0,0,0
1,L1G1,s_91.png,L1G1_s_91.png,0,0,0
1,L1G1,s_92.png,L1G1_s_92.png,0,0,0
1,L1G1,s_93.png,L1G1_s_93.png,0,0,0
1,L1G1,s_94.png,L1G1_s_94.png,0,0,0
1,L1G1,s_95.png,L1G1_s_95.png,0,0,0
1,L1G1,s_101.png,L1G1_s_101.png,0,0,0
1,L1G1,s_102.png,L1G1_s_102.png,0,0,0
1,L1G1,s_103.png,L1G1_s_103.png,0,0,0
1,L1G1,s_104.png,L1G1_s_104.png,0,0,0
1,L1G1,s_105.png,L1G1_s_105.png,0,0,0
1,L1G10,s_11.png,L1G10_s_11.png,0,0,0
1,L1G10,s_12.png,L1G10_s_12.png,0,0,0
1,L1G10,s_13.png,L1G10_s_13.png,0,0,0
1,L1G10,s_14.png,L1G10_s_14.png,0,0,0
1,L1G10,s_15.png,L1G10_s_15.png,0,0,0
1,L1G10,s_21.png,L1G10_s_21.png,1,"56,9",1
1,L1G10,s_22.png,L1G10_s_22.png,1,"66,3",1
