Locality,n_test_seeds,observed_germination_rate,RandomSplit_accuracy_pct,LOLO_n_held_out,LOLO_accuracy_pct,LOLO_balanced_accuracy_pct,LOLO_macro_f1_pct,Accuracy_gap_pct_points,
Camamu,622,10.1,89.9,1971,59.5,47.2,42.7,30.4,
Marau,532,69.4,69.4,1867,39.2,50.2,38.8,30.2,
Itabuna,572,66.4,65.7,1920,40.1,49.6,39.4,25.6,
Una,542,18.3,80.6,1908,58.6,49.6,48,22,
Camacan,300,13.3,86.7,991,67.5,50.3,48.6,19.2,
Itacare,596,21.6,77.3,1974,61,49.5,49.1,16.3,
Urucuca,645,53,54.1,1988,49.4,50.3,46.2,4.7,
Ilheus,856,36.9,60.9,2931,56.6,50.1,49.3,4.3,
,,,,,,,,,
,,,,,,,,,
,n_held_out,germination_rate,accuracy,balanced_accuracy,macro_f1,germinated_recall,germinated_f1,pr_auc,roc_auc
Camamu,1971,0.082699137,0.595129376,0.4723112,0.427291913,0.325153374,0.117256637,0.073392194,0.461052446
Marau,1867,0.698446706,0.392072844,0.502222292,0.388332319,0.224693252,0.340499709,0.704790871,0.50378532
Itabuna,1920,0.6734375,0.400520833,0.495762978,0.3941426,0.221191029,0.331979106,0.672278164,0.497423866
Una,1908,0.192872117,0.586477987,0.49566629,0.480120662,0.347826087,0.244976077,0.195063126,0.501933936
Camacan,991,0.125126135,0.675075681,0.50330208,0.486048834,0.274193548,0.174358974,0.123258246,0.482559437
Itacare,1974,0.218844985,0.610435664,0.494870478,0.491395811,0.289351852,0.245338567,0.214536806,0.493926238
Urucuca,1988,0.516599598,0.493963783,0.50263388,0.461798712,0.241480039,0.330226365,0.514842266,0.501562901
Ilheus,2931,0.368816104,0.566359604,0.5013291,0.493446957,0.25346901,0.301264431,0.373762747,0.504452334
