Lot A,Lot B,Mean PC1 difference,p-value,Significant (alpha=0.05)
1,2,0.040805715,0.999999905,FALSE
1,3,0.076786609,0.999610229,FALSE
1,4,0.912251563,2.99E-12,TRUE
1,5,-1.35073563,2.99E-12,TRUE
1,6,-0.944444815,2.99E-12,TRUE
1,7,-0.932743378,2.99E-12,TRUE
1,8,0.666934165,2.99E-12,TRUE
1,9,-0.434168767,2.65E-07,TRUE
1,10,-0.819758477,2.99E-12,TRUE
1,11,-0.378933288,1.90E-05,TRUE
1,12,0.055400005,0.99999355,FALSE
1,13,0.824291651,2.99E-12,TRUE
1,14,-0.359234228,7.21E-05,TRUE
1,15,-0.025021654,1,FALSE
1,16,-0.044710593,0.999999663,FALSE
2,3,0.035980894,0.999999984,FALSE
2,4,0.871445848,2.99E-12,TRUE
2,5,-1.391541345,2.99E-12,TRUE
2,6,-0.98525053,2.99E-12,TRUE
2,7,-0.973549092,2.99E-12,TRUE
2,8,0.62612845,2.99E-12,TRUE
2,9,-0.474974482,5.49E-09,TRUE
2,10,-0.860564192,2.99E-12,TRUE
2,11,-0.419739003,6.26E-07,TRUE
2,12,0.01459429,1,FALSE
2,13,0.783485936,2.99E-12,TRUE
2,14,-0.400039943,2.77E-06,TRUE
2,15,-0.065827369,0.999934453,FALSE
2,16,-0.085516308,0.998435261,FALSE
3,4,0.835464954,2.99E-12,TRUE
3,5,-1.427522239,2.99E-12,TRUE
3,6,-1.021231424,2.99E-12,TRUE
3,7,-1.009529987,2.99E-12,TRUE
3,8,0.590147556,3.02E-12,TRUE
3,9,-0.510955376,2.32E-10,TRUE
3,10,-0.896545086,2.99E-12,TRUE
3,11,-0.455719897,3.52E-08,TRUE
3,12,-0.021386604,1,FALSE
3,13,0.747505042,2.99E-12,TRUE
3,14,-0.436020837,1.72E-07,TRUE
3,15,-0.101808263,0.990495018,FALSE
3,16,-0.121497202,0.950932925,FALSE
4,5,-2.262987193,2.99E-12,TRUE
4,6,-1.856696378,2.99E-12,TRUE
4,7,-1.84499494,2.99E-12,TRUE
4,8,-0.245317398,0.049587377,TRUE
4,9,-1.34642033,2.99E-12,TRUE
4,10,-1.73201004,2.99E-12,TRUE
4,11,-1.291184851,2.99E-12,TRUE
4,12,-0.856851558,2.99E-12,TRUE
4,13,-0.087959912,0.997815081,FALSE
4,14,-1.271485791,2.99E-12,TRUE
4,15,-0.937273217,2.99E-12,TRUE
4,16,-0.956962155,2.99E-12,TRUE
5,6,0.406290815,4.46E-06,TRUE
5,7,0.417992253,1.94E-06,TRUE
5,8,2.017669795,2.99E-12,TRUE
5,9,0.916566863,2.99E-12,TRUE
5,10,0.530977153,7.02E-11,TRUE
5,11,0.971802342,2.99E-12,TRUE
5,12,1.406135635,2.99E-12,TRUE
5,13,2.175027281,2.99E-12,TRUE
5,14,0.991501402,2.99E-12,TRUE
5,15,1.325713976,2.99E-12,TRUE
5,16,1.306025038,2.99E-12,TRUE
6,7,0.011701438,1,FALSE
6,8,1.61137898,2.99E-12,TRUE
6,9,0.510276048,4.13E-10,TRUE
6,10,0.124686338,0.949262638,FALSE
6,11,0.565511527,4.22E-12,TRUE
6,12,0.99984482,2.99E-12,TRUE
6,13,1.768736466,2.99E-12,TRUE
6,14,0.585210587,3.11E-12,TRUE
6,15,0.919423161,2.99E-12,TRUE
6,16,0.899734222,2.99E-12,TRUE
7,8,1.599677542,2.99E-12,TRUE
7,9,0.498574611,1.39E-09,TRUE
7,10,0.112984901,0.979195784,FALSE
7,11,0.553810089,7.83E-12,TRUE
7,12,0.988143383,2.99E-12,TRUE
7,13,1.757035028,2.99E-12,TRUE
7,14,0.573509149,3.47E-12,TRUE
7,15,0.907721723,2.99E-12,TRUE
7,16,0.888032785,2.99E-12,TRUE
8,9,-1.101102932,2.99E-12,TRUE
8,10,-1.486692642,2.99E-12,TRUE
8,11,-1.045867453,2.99E-12,TRUE
8,12,-0.61153416,2.99E-12,TRUE
8,13,0.157357486,0.695649037,FALSE
8,14,-1.026168393,2.99E-12,TRUE
8,15,-0.691955819,2.99E-12,TRUE
8,16,-0.711644757,2.99E-12,TRUE
9,10,-0.38558971,1.54E-05,TRUE
9,11,0.055235479,0.999994169,FALSE
9,12,0.489568772,1.39E-09,TRUE
9,13,1.258460418,2.99E-12,TRUE
9,14,0.074934539,0.999692721,FALSE
9,15,0.409147113,1.77E-06,TRUE
9,16,0.389458174,8.17E-06,TRUE
10,11,0.440825189,1.70E-07,TRUE
10,12,0.875158482,2.99E-12,TRUE
10,13,1.644050128,2.99E-12,TRUE
10,14,0.460524249,2.66E-08,TRUE
10,15,0.794736823,2.99E-12,TRUE
10,16,0.775047884,2.99E-12,TRUE
11,12,0.434333293,1.82E-07,TRUE
11,13,1.203224939,2.99E-12,TRUE
11,14,0.01969906,1,FALSE
11,15,0.353911634,0.000102021,TRUE
11,16,0.334222695,0.000383201,TRUE
12,13,0.768891646,2.99E-12,TRUE
12,14,-0.414634233,8.45E-07,TRUE
12,15,-0.080421659,0.999234515,FALSE
12,16,-0.100110598,0.991447746,FALSE
13,14,-1.183525879,2.99E-12,TRUE
13,15,-0.849313305,2.99E-12,TRUE
13,16,-0.869002243,2.99E-12,TRUE
14,15,0.334212574,0.000358511,TRUE
14,16,0.314523635,0.001252138,TRUE
15,16,-0.019688939,1,FALSE
